Emnekode	Emnenavn	Sted
TBA4410	Digitalisering av ingeniørfaglige prosesser	Gjøvik
ODA3001	Digitalisering av organisasjoner, administrasjon og arbeid	Trondheim
DIFT2503	Digitalisering i bransjer	Trondheim
HELG8001	Digitalisering i de kommunale helse- og omsorgstjenestene	Gjøvik
TDMA4007	Digitalisering og forretningsprosesser	Trondheim
TDMA4000	Digitalisering: Fenomen og teoretiske tilnærminger	Trondheim
TPK4450	Digitaliserte løsninger for prognose, forutsigende vedlikehold og sikkerhetsanalyse	Trondheim
HIST8872	Digitalkartlegging for humanister og samfunnsvitere	Trondheim
DIFT2010	Digitalt entreprenørskap	Trondheim
TBA4420	Digitalt ingeniørarbeid	Trondheim
IT1604	Digitalt samfunn	Trondheim
BYGT2203	Digitalt samspill	Trondheim
IELEG1040	Digitalteknikk og Programmering	Gjøvik
BA8619	Dimensjonering av dekkekonstruksjoner	Trondheim
TMM4135	Dimensjonering basert på elementmetoden, grunnkurs	Trondheim
GEOG3053	Discourses of Development and Globalisation	Trondheim
TMA4140	Diskret matematikk	Trondheim
PED8040	Diskursanalyse og pedagogiske praksiser	Trondheim
SKIP3002	Diskursteorier om språk og kommunikasjon	Trondheim
DANS3007	Dissertation 1: Ethnographic Research Methodology and Archiving	Trondheim
BI3810	Diversification in Time and Space	Trondheim
AL302019	Doing Business in...	Ålesund
TT8308	Doktorgradsseminar i akustikk	Trondheim
ET8500	Doktorgradsseminar i elkraftteknikk	Trondheim
TK8108	Doktorgradsseminar i fiskeri og havbrukskybernetikk	Trondheim
GB8508	Doktorgradsseminar i geologi og mineralproduksjon	Trondheim
FE8122	Doktorgradsseminar i krets- og radiosystem design	Trondheim
MA8001	Doktorgradsseminar i matematiske fag	Trondheim
MA8004	Doktorgradsseminar i matematiske fag - mini	Trondheim
FE8123	Doktorgradsseminar i nanoelektronikk og fotonikk	Trondheim
TT8108	Doktorgradsseminar i signalbehandling	Trondheim
FVP2004	Dokumentar	Trondheim
FILM2201	Dokumentar	Trondheim
KULMI3815	Dokumentasjon og forskningsmetode	Trondheim
DOK3003	Dokumentasjonsforvaltning i et samfunns- og virksomhetsperspektiv	Trondheim
ALIT1112	Drama og poetikk fra antikken til 1800	Trondheim
DRA1002	Drama og teater i kontekst	Trondheim
ALIT1104	Drama, poetikk og litteraturteori 1800-2000	Trondheim
DRA1012	Dramaturgisk analyse(Kun eksamen, undervises ikke)	Trondheim
TN302812	Drift av ombordbaserte datanettverk	Ålesund
TKP4176	Drift og sikkerhet i industrielle prosesser	Trondheim
TF201321	Drift og vedlikehold av skip	Ålesund
MAST2003	Drift og vedlikehold av tekniske installasjoner	Gjøvik, Trondheim
BA8617	Drift og vedlikehold av veger i kaldt klima	Trondheim
TBA4340	Drift,vedlikehold og rehabilitering av veger(Kun eksamen, undervises ikke)	Trondheim
TLOG2010	Driftslogistikk og risikostyring(Kun eksamen, undervises ikke)	Trondheim
AE201306	Driftsregnskap med budsjettering	Ålesund
BØA2100	Driftsregnskap med budsjettering	Trondheim
SMF2293F	Driftsregnskap med budsjettering	Gjøvik
SMF2293	Driftsregnskap med budsjettering	Gjøvik
MAST2006	Driftssikkerhet og vedlikehold	Gjøvik, Trondheim
TPK4140	Driftssikkerhet, vedlikeholdsstyring	Trondheim
TKT4102	Dynamikk	Trondheim
MASG2106	Dynamikk for ingeniører	Gjøvik
MAST2007	Dynamikk og maskindesign	Trondheim
TET4180	Dynamikk og regulering i elkraftsystemer	Trondheim
PED8019	Dynamisk Literacies	Trondheim
EP8123	Dynamisk MFA modellering (MFA2)	Trondheim
MR8208	Dynamisk analyse av slanke marine konstruksjoner	Trondheim
SØK8629	Dynamisk makro	Trondheim
SØK3529	Dynamisk makro	Trondheim
TBA4275	Dynamisk respons på uregelmessige laster	Trondheim
TMA4165	Dynamiske systemer	Trondheim
AIS2102	Dynamiske systemer	Ålesund
MEPA2202	Dynamiske systemer	Ålesund
MA8102	Dynamiske systemer og ergodeteori	Trondheim
IE500814	Dynamiske systemer og kontroll	Ålesund
IT3030	Dyp læring(Kun eksamen, undervises ikke)	Trondheim
TGB4228	Dypmarin mineralutvinning	Trondheim
BI1006	Dyrenes struktur og funksjon	Trondheim
BI2025	Dyreøkofysiologi og økotoksikologi	Trondheim
SANT2029	Dødens antropologi	Trondheim
TEGN1101	Døve i verden 1	Trondheim
TEGN1104	Døve i verden 2	Trondheim
DIFT2501	E-handel og den digitale økonomien	Trondheim
TPK4165	ERP og PLM systemer	Trondheim
AE512021	ESG in Business and Finance	Ålesund
TEK2002	EcoDesign	Gjøvik
EDU2001	EduChange - active citizenship through innovative methods to tackle wicked environmental problems(Kun eksamen, undervises ikke)	Trondheim
ET8304	Effektteori og kompensering med kraftelektronikkomformere	Trondheim
AAR4827	Eiendomsforvaltning - Facility Mangement	Trondheim
AAR4828	Eiendomsutvikling	Trondheim
AAR4235	Eiendomsøkonomi	Trondheim
EP8110	Eksergianalyse	Trondheim
BI3013	Eksperimentell celle- og molekylærbiologi	Trondheim
TMT4166	Eksperimentell material- og elektrokjemi	Trondheim
TMR4300	Eksperimentell og numerisk hydrodynamikk	Trondheim
AAR4692	Eksperimentell praksis	Trondheim
AAR4698	Eksperimentell praksis	Trondheim
AAR4612	Eksperimentell praksis A	Trondheim
BI3075	Eksperimentell økotoksikologi	Trondheim
TEP4180	Eksperimentelle metoder i prosessteknikken	Trondheim
PG8608	Eksperimentelle metoder i reservoarteknikk	Trondheim
MM8455	Eksperimentelle og modellerende tilnærminger innen overflateteknikk, korrosjon og tribologi	Trondheim
MFEL4853	Eksperter i team - Disruptiv teknologi for godhet	Trondheim
SOS3804	Eksperter i team - The sea knows no boundaries – or does it? A collective exploration of international ocean governance	Trondheim
TIØ4852	Eksperter i team - Tingenes Internett(IoT) - Smart digitalisering av skogbruk og distrikter	Trondheim
TTK4853	Eksperter i team - Virtual reality-based digital twin	Trondheim
IMT4310	Eksperter i team - 3D Acquisition and Reproduction of Material Appearance – Challenges and Opportunities	Gjøvik
TMT4850	Eksperter i team - A Bright, Strong and Light Future with Materials	Trondheim
TØL4025	Eksperter i team - Aksjon for bærekraftig utvikling	Gjøvik
MFEL4856	Eksperter i team - Alle skal med: tenk nytt mot sosialt utenforskap	Trondheim
TFY4851	Eksperter i team - Aluminium - bærekraft og resirkulering	Trondheim
AAR4911	Eksperter i team - Arkitektur for ikke-arkitekter	Trondheim
TEP4853	Eksperter i team - Batterier og fremskritt – Lad opp din verden	Trondheim
EIT3019	Eksperter i team - Bevissthet og kunstig intelligens	Trondheim
TIØ4857	Eksperter i team - Bidrar NTNU til bærekraft? Hvordan eller hva må endres?	Trondheim
TMT4853	Eksperter i team - Biomaterialer og helse	Trondheim
TIØ4858	Eksperter i team - Bli en endringsagent!	Trondheim
TDT4859	Eksperter i team - Bruk av AI i praksis	Trondheim
TDT4861	Eksperter i team - Bruk av AI og stordata for bærekraftig utvikling	Trondheim
POL3802	Eksperter i team - Building future-proof health care systems	Trondheim
TIØ4856	Eksperter i team - Building sustainable solutions for the Lithium ion battery value chain	Trondheim
SØK3801	Eksperter i team - Bærekraftig utvikling - hva skal kommunen gjøre?	Trondheim
DID3803	Eksperter i team - Bærekraftig utvikling i havet	Trondheim
TKP4852	Eksperter i team - Bærekraftige løsninger for prosessindustrien	Trondheim
AAR4912	Eksperter i team - Climate-Neutral Trondheim 2030?	Trondheim
AM500218	Eksperter i team - Creating Value from Waste	Ålesund
TMA4851	Eksperter i team - Data and minds: Forging Future frontiers	Trondheim
MFEL4851	Eksperter i team - Death at the Museum: Anatomical Museums and the Public Eye	Trondheim
TPD4850	Eksperter i team - Design for Inkludering: Samskaping og Frivillighet mot Ungt Utenforskap	Trondheim
DID3804	Eksperter i team - Didaktisk eksperter i team i samarbeid med skole og andre samfunnsaktører	Trondheim
IMT4016	Eksperter i team - Digital Communities and Welfare	Gjøvik
IIKG4001	Eksperter i team - Digital communities	Gjøvik
TDT4858	Eksperter i team - Digital formidling av fortiden	Trondheim
MFEL4859	Eksperter i team - Digital medisin	Trondheim
TDT4860	Eksperter i team - Digitale tvillinger	Trondheim
TGB4855	Eksperter i team - Energilagring i grunnen - et viktig bidrag i det grønne skiftet	Trondheim
TET4850	Eksperter i team - Energiutfordringer for en bærekraftig framtid	Trondheim
PED3804	Eksperter i team - Et inkluderende læringsmiljø for alle studenter	Trondheim
AAR4914	Eksperter i team - Forbedre din by	Trondheim
TBA4860	Eksperter i team - Fra brukere til skapere, styrker innbyggerne for utviklingen av smarte og bærekraftige byer	Trondheim
PSY3816	Eksperter i team - Free Norway of Plastic: Co-developing local solutions for a global problem	Trondheim
BEIT4013	Eksperter i team - Fremtidens boliger og bomiljø	Trondheim
PED3802	Eksperter i team - Fremtidens læringsmiljøer	Trondheim
TMAT4850	Eksperter i team - Fremtidens mat	Trondheim
TTM4850	Eksperter i team - Future User Experiences in the digital era	Trondheim
AM500118	Eksperter i team - Future jobs	Ålesund
POL3801	Eksperter i team - Gjenoppbygging etter krig	Trondheim
TFE4853	Eksperter i team - GreenXR: Green, fair and democratic living environments through virtual worlds and XR	Trondheim
TDT4856	Eksperter i team - Grønn Maritim framtid: Vi skaper den	Trondheim
BEIT4014	Eksperter i team - Grønn omstilling uten grønnvasking	Trondheim
TIØ4853	Eksperter i team - Grønt industriløft i praksis	Trondheim
TMR4855	Eksperter i team - Havbruk - Innovasjonsnæringen som trenger Deg	Trondheim
TMR4853	Eksperter i team - Havbruk - Teknologi på biologiens premisser	Trondheim
IDS4009	Eksperter i team - Helping manufacturing businesses in their digitalisation journey – safe, sustainable and social	Gjøvik
TTK4851	Eksperter i team - Hvordan kan dataspill fornye den maritime næringen?	Trondheim
TET4854	Eksperter i team - Hvordan oppnå en ren luftfart innen 2050?	Trondheim
TPK4852	Eksperter i team - Hydrogen i transport for en sikker og bærekraftig framtid	Trondheim
IDR3802	Eksperter i team - Idrett og samfunn	Trondheim
TBA4851	Eksperter i team - Idrettsteknologi - Ski-VM 2025	Trondheim
IE509118	Eksperter i team - Industry 5.0 – New Technologies, New Business Models	Ålesund
TIØ4859	Eksperter i team - Innovasjon for en bedre verden	Trondheim
ISA3800	Eksperter i team - Innovasjon i offentlig sektor. -Hvordan utvikle bedre samarbeid rundt brukere av sosiale tjenester?	Trondheim
TKT4851	Eksperter i team - Innovasjon, gjenbruk og CO2-reduksjon i konstruksjon og infrastruktur	Trondheim
MFEL4850	Eksperter i team - Innovasjoner i helsevesenet	Trondheim
BEIT4010	Eksperter i team - Innovasjonskompetanse - fremtidens kjernekompetanse	Trondheim
TBA4856	Eksperter i team - Innovative idrettsanlegg	Trondheim
TDT4855	Eksperter i team - Justismuseet - Utstillingsformer og teknologi	Trondheim
TFY4853	Eksperter i team - Kan vi feie karbondioksid under teppet?	Trondheim
TGB4856	Eksperter i team - Klima og mineraler	Trondheim
TIØ4851	Eksperter i team - Kommersialisering av teknologi	Trondheim
TPD4852	Eksperter i team - Krisevitenskap x Vitenskap i krise	Trondheim
EIT3017	Eksperter i team - Kunnskap om sårbare og løfterike hav – havets betydning og framtid som ressursgrunnlag	Trondheim
TTT4850	Eksperter i team - Lyd, menneske og natur	Trondheim
TMA4850	Eksperter i team - Matematikk innen anvendelser	Trondheim
TMT4852	Eksperter i team - Materials Surfaces – Surface Materials	Trondheim
PED3803	Eksperter i team - Media Literacy 2.0: Oppvekst og læring i en ny mediekultur	Trondheim
EIT3018	Eksperter i team - Migrasjon: Rettigheter, helse, kultur og konflikter	Trondheim
KJ2095	Eksperter i team - Miljøpåvirkning og helse	Trondheim
TKP4850	Eksperter i team - Mindre klimautslipp med biodrivstoff	Trondheim
TFY4852	Eksperter i team - Myke teknologier	Trondheim
TKT4854	Eksperter i team - Nano Energy Giga Impact	Trondheim
TIØ4850	Eksperter i team - Ny campus NTNU	Trondheim
AAR4923	Eksperter i team - Ocean Justice	Trondheim
BI2097	Eksperter i team - Offshore wind farms: good for the environment?​​​​​​​	Trondheim
TTK4850	Eksperter i team - Oppdrag Mjøsa	Trondheim
TEP4854	Eksperter i team - Plastic Free Oceans	Trondheim
MFEL4862	Eksperter i team - Psykisk helse og teknologi	Trondheim
TBA4853	Eksperter i team - Punktlig og effektiv jernbane	Trondheim
TDT4850	Eksperter i team - Pålitelig AI og velferd	Trondheim
TDT4863	Eksperter i team - Redd planeten med kunstig intelligens mens man tjener penger på det	Trondheim
TTK4854	Eksperter i team - Robotic Ocean Waste Removal	Trondheim
IMT4000	Eksperter i team - Samhandling og sosial innovasjon i helsefremmende lokalsamfunn	Gjøvik
BI2098	Eksperter i team - Saving the World is not Rocket Science	Trondheim
TFE4854	Eksperter i team - Sensorer og miljøovervåking	Trondheim
TBA4859	Eksperter i team - Sirkulærøkonomi i bygd miljø	Trondheim
BEIT4012	Eksperter i team - Skaping av fremtidens helsetjeneste	Trondheim
PED3800	Eksperter i team - Skoleanlegget - et sted for læring og trivsel	Trondheim
BT3801	Eksperter i team - Skreddersydd biologi: Potensial, begrensninger og utfordringer for menneskeheten	Trondheim
TIØ4855	Eksperter i team - Smart Energy Management	Trondheim
TEP4851	Eksperter i team - Smart energibruk	Trondheim
TKT4857	Eksperter i team - Smarte aluminiumskonstruksjoner	Trondheim
TDT4857	Eksperter i team - Smarte og bærekraftige transformasjoner i byer	Trondheim
TTK4852	Eksperter i team - Småsatellitter	Trondheim
TET4853	Eksperter i team - Solenergi i Norden	Trondheim
HLS3801	Eksperter i team - Sov godt - Velferdsteknologi for bærekraftig søvnhelse	Trondheim
EIT3014	Eksperter i team - Told Digitally	Trondheim
AAR4922	Eksperter i team - Tre for fremtiden	Trondheim
ISA3801	Eksperter i team - Universell utforming for mangfoldig deltakelse	Trondheim
MFEL4858	Eksperter i team - Utadvendt i en innadvendt helsetjeneste	Ålesund
TPG4850	Eksperter i team - VR-landsbyen	Trondheim
PED3801	Eksperter i team - VR/AR og AI for læring	Trondheim
TVM4850	Eksperter i team - Vann for livet	Trondheim
TFE4850	Eksperter i team - Verdensrommet-Satellitter og romsøppel, eller poteter på Mars?	Trondheim
SANT3800	Eksperter i team - Virtuelle verdener - teknologi, nærhet og avstand	Trondheim
MFEL4852	Eksperter i team - Vitenskap og fiksjon	Trondheim
SOS3800	Eksperter i team - Zombie Apocalypse! Preparing for the next pandemic	Trondheim
EIT3006	Eksperter i team - forbruk - design - livsstil	Trondheim
EIT3020	Eksperter i team - Å være i vann	Trondheim
IP509118	Eksperter i team – Save the oceans	Ålesund
HBIOA2008	Ekstern praksis - Blodprøvetaking i sykehus	Ålesund
BIA2003	Ekstern praksis 1	Ålesund
BIA3001	Ekstern praksis 2	Ålesund
PSYPRO4506	Ekstern samfunnspsykologisk praksis	Trondheim
KUH2208	Eldre europeisk kunst	Trondheim
KUH3208	Eldre europeisk kunst	Trondheim
HIST1300	Eldre historie fram til ca. 1750	Trondheim
HIST1350	Eldre historie fram til ca. 1750 II	Trondheim
NORD2200	Eldre språk	Trondheim
NORX2200	Eldre språk - for utvekslingsstudenter	Trondheim
SYT6304	Eldreomsorg og geriatri – praktiske studier	Trondheim
SYT6307	Eldreomsorg – faglig ledelse – praktiske studier	Trondheim
TET4920	Electric Power Systems, Master's Thesis	Trondheim
TFE4595	Electronic Systems Design, fordypningsemne	Trondheim
TFE4590	Electronic Systems Design, fordypningsprosjekt	Trondheim
TFE4930	Electronic Systems Design, masteroppgave	Trondheim
FY1003	Elektrisitet og magnetisme	Trondheim
TET4510	Elektrisk energi og energisystemer, fordypningsprosjekt	Trondheim
TET4900	Elektrisk energi og energisystemer, masteroppgave	Trondheim
ET8100	Elektrisk ledningsevne, dielektrisk tap og gjennomslag i fast og flytende høyspenningsisolasjon	Trondheim
IELEG2120	Elektriske Maskiner og Elektromagnetisk Energiomforming(Kun eksamen, undervises ikke)	Gjøvik
IELET2120	Elektriske Maskiner og Elektromagnetisk Energiomforming	Trondheim
YFLE2004	Elektriske anlegg(Kun eksamen, undervises ikke)	Trondheim
FENG2001	Elektriske energisystemer og fjernvarme	Gjøvik
FENA2001	Elektriske energisystemer og fjernvarme	Ålesund
FENT2001	Elektriske energisystemer og fjernvarme	Trondheim
FENA2101	Elektriske energisystemer og mikrogrid	Ålesund
IELEG2118	Elektriske kraftsystemer	Gjøvik
TET4105	Elektriske kraftsystemer 1	Trondheim
IELET2118	Elektriske kraftsystemer 1	Trondheim
TET4205	Elektriske kraftsystemer 2	Trondheim
ELEG1002	Elektriske kretser - modellering og analyse	Gjøvik
ELET1002	Elektriske kretser - modellering og analyse	Trondheim
ELET1001	Elektriske kretser - introduksjon	Trondheim
ELEG1001	Elektriske kretser - introduksjon	Gjøvik
ELEA1001	Elektriske kretser - introduksjon(Kun eksamen, undervises ikke)	Ålesund
ELEA1002	Elektriske kretser - modellering og analyse(Kun eksamen, undervises ikke)	Ålesund
IELEG2231	Elektriske maskiner	Gjøvik
TET4110	Elektriske maskiner og elektromagnetisk energiomforming	Trondheim
TET4545	Elektriske maskiner og elektromagnetisme, fordypningsemne	Trondheim
TET4120	Elektriske motordrifter	Trondheim
TN101410	Elektro	Ålesund
IELEG2213	Elektro prosjekt	Gjøvik
IELEG2119	Elektroinstallasjoner	Gjøvik
TET4170	Elektroinstallasjoner	Trondheim
IELET2119	Elektroinstallasjoner	Trondheim
TMT4252	Elektrokjemi	Trondheim
IMAK1004	Elektrokjemi og kjemisk termodynamikk	Trondheim
TMT4253	Elektrokjemisk prosess- og energiteknologi	Trondheim
MT8110	Elektrokjemiske metoder	Trondheim
TFY4240	Elektromagnetisk teori	Trondheim
TFE4120	Elektromagnetisme	Trondheim
IELEG2130	Elektronikk	Gjøvik
IELEG2131	Elektronikkonstruksjon	Gjøvik
IELEG2109	Elektronikkonstruksjon(Kun eksamen, undervises ikke)	Gjøvik
IELS2031	Elektronikkonstruksjon	Trondheim
IELET2109	Elektronikkonstruksjon(Kun eksamen, undervises ikke)	Trondheim
IELEG2215	Elektronisk kommunikasjon	Gjøvik
MUST3054	Elektronisk musikk	Trondheim
TTT4260	Elektronisk systemdesign og -analyse I	Trondheim
TTT4265	Elektronisk systemdesign og -analyse II	Trondheim
IELS2021	Elektronisk systemdesign og -implementering I	Trondheim
IELS2022	Elektronisk systemdesign og -implementering II	Trondheim
IELS2023	Elektronisk systemdesign og -implementering III	Trondheim
TFE4580	Elektronisk systemdesign og innovasjon, fordypningsprosjekt	Trondheim
TFE4940	Elektronisk systemdesign og innovasjon, masteroppgave	Trondheim
TTT4255	Elektronisk systemdesign, grunnkurs	Trondheim
TTT4270	Elektronisk systemdesign, prosjekt	Trondheim
BK1164	Elektroniske medier	Trondheim
FY8102	Elektronmikroskopi og diffraksjon	Trondheim
FENA1201	Elektroteknikk	Ålesund
IELET2003	Elektroteknikk 2(Kun eksamen, undervises ikke)	Trondheim
IELEG2003	Elektroteknikk 2(Kun eksamen, undervises ikke)	Gjøvik
MASG2102	Elementmetoden	Gjøvik
MEPA2314	Elementmetoden	Ålesund
TMR4190	Elementmetoden anvendt i konstruksjonsanalyse	Trondheim
TKT4145	Elementmetoden i ingeniørvitenskap	Trondheim
TKT4142	Elementmetoden i konstruksjonsteknikk	Trondheim
MA0301	Elementær diskret matematikk	Trondheim
KLMED8001	Elementær forskningsmetodikk i psykiatri	Trondheim
KLMED8011	Elementær forskningsmetodikk i psykiatri	Trondheim
MGLU3202	Elevmangfold, oppvekstvilkår og likeverdig opplæring	Trondheim
IDG3010	Emballasjedesign	Gjøvik
IDG3015	Emneoverbyggende prosjekt	Gjøvik
IDG3014	Emneoverbyggende prosjekt, mappe og avgangsutstilling	Gjøvik
PD8300	Emner i designforskning	Trondheim
VM8107	Emner i hydraulikk	Trondheim
BA8511	Emner i prosjektledelse og anleggsteknikk	Trondheim
VM8109	Emner i vassdragsmiljø	Trondheim
VM8206	Emner innen vann- og avløpssystemer	Trondheim
VM8201	Emner innen vannrensing og ressursgjenvinning	Trondheim
FIN3010	Empiriske metoder i finans	Trondheim
FIN8610	Empiriske metoder i finans	Trondheim
TIØ4317	Empiriske og kvantitative metoder i finans	Trondheim
BA8203	En integrert jordbasert metode for studium av havklima	Trondheim
ARK1010	En kort introduksjon til arkeologi	Trondheim
VL3011	Endring, utvikling og innovasjon i organisasjoner	Trondheim
ORG3021	Endringsledelse	Trondheim
TIØ4276	Endringsledelse	Trondheim
TS501823	Endringsledelse og Teknologiske Utfordringer	Ålesund
TEP4111	Energi og bærekraft	Trondheim
TEP4225	Energi og miljø	Trondheim
AAR8360	Energi- og klimapositive nabolag og byer - Individuelt PhD-kurs	Trondheim
TFY4300	Energi- og miljøfysikk	Trondheim
TMT4306	Energibalanser som basis for livsløpsanalyser	Trondheim
TEP4235	Energibruk i bygninger	Trondheim
TEP4215	Energieffektivisering og prosessintegrasjon	Trondheim
TEP4530	Energiforsyning og klimatisering av bygninger, fordypningsprosjekt	Trondheim
TEP4910	Energiforsyning og klimatisering av bygninger, masteroppgave	Trondheim
FENA2011	Energilagring 1	Ålesund
FENG2011	Energilagring 1	Gjøvik
FENT2011	Energilagring 1	Trondheim
FENA2314	Energilagring 2	Ålesund
FENG2314	Energilagring 2	Gjøvik
FENT2314	Energilagring 2	Trondheim
EP8125	Energilagring og bioenergi	Trondheim
TEP4320	Energilagringsteknikk	Trondheim
IØ8303	Energimarkeder	Trondheim
FENA2320	Energiomforming og systemintegrasjon	Ålesund
GEOG2017	Energiomstilling og bærekraftig utvikling	Trondheim
MASA2042	Energioverføring og styring av maskinerisystemer	Ålesund
TET4135	Energiplanlegging	Trondheim
FY2290	Energiressurser	Trondheim
FENA2020	Energisystem analyse	Ålesund
FENT2020	Energisystem analyse	Trondheim
FENG2020	Energisystem analyse	Gjøvik
TØL4023	Energy system analysis project course	Gjøvik
TFOR0115	Engelsk	Trondheim
FO001521	Engelsk	Ålesund
MGLU1105	Engelsk 1 (1-7) emne 1	Trondheim
MGLU2105	Engelsk 1 (1-7) emne 2	Trondheim
MGLU1505	Engelsk 1 (5-10) emne 1	Trondheim
MGLU2505	Engelsk 1 (5-10) emne 2	Trondheim
MGLU3122	Engelsk 2 (1-7)	Trondheim
MGLU3522	Engelsk 2 (5-10)	Trondheim
ENG1101	Engelsk språkvitenskap	Trondheim
MGLU4106	Engelskspråklig litteratur i klasserommet (1-7): teoretiske og didaktiske perspektiver	Trondheim
MGLU4506	Engelskspråklig litteratur i klasserommet (5-10): teoretiske og didaktiske perspektiver	Trondheim
EAP0001	English for Academic Purposes	Trondheim
MUSP4721	Ensemblepraksis A	Trondheim
MUSP4713	Ensemblepraksis B	Trondheim
IE501989	Enterprise Modeling and Systems Engineering	Ålesund
DIFT2502	Enterprise Social Networks (ESN) og endring(Kun eksamen, undervises ikke)	Trondheim
AI521216	Entrepreneurship in Theory and Practice	Ålesund
TIØ4331	Entreprenørielle muligheter og markedsundersøkelser	Trondheim
TIØ4250	Entreprenørskap - Venture CUP	Trondheim
MUSP4745	Entreprenørskap for musikere	Trondheim
TEP4298	Entreprenørskap for sirkulær økonomi(Kun eksamen, undervises ikke)	Trondheim
AI201312	Entreprenørskap og forretningsutvikling	Ålesund
HFO1002	Entreprenørskap og nyskaping i praktisk-estetiske fag	Trondheim
TIØ4945	Entreprenørskap, masteroppgave	Trondheim
IØ8903	Entreprenørskap: Forskningsfelt og metoder	Trondheim
SANT2032	Environment, Cultural Politics & Justice	Trondheim
MH3002	Epidemiologi I	Gjøvik, Trondheim
SMED8002	Epidemiologi II	Trondheim
ALIT1103	Epikk og lyrikk 1800-2000	Trondheim
ALIT1111	Epikk og lyrikk fra antikken til 1800	Trondheim
RFEL3093	Episoder fra naturvitenskapenes historie	Trondheim
ETT2202	Ergoterapeutiske arbeidsprosesser og metoder	Trondheim
ETG2202	Ergoterapeutiske arbeidsprosesser og metoder	Gjøvik
ETG2220	Ergoterapiprosessen og klinisk resonnering (praksisstudier)	Gjøvik
ETT2220	Ergoterapiprosessen og klinisk resonnering (praksisstudier)	Trondheim
BTA2001	Ernæring	Ålesund
TMAT2002	Ernæring	Trondheim
BBAN3001	Essentials of Business Analytics	Trondheim
TPD4111	Estetikk 1: Tegneteknikk 1	Trondheim
TPD4112	Estetikk 2: Tegneteknikk 2	Trondheim
TPD4113	Estetikk 3: Tegneteknikk 3	Trondheim
KUH3008	Estetikk og politikk	Trondheim
DRA3007	Estetikk og vitenskapsteori 	Trondheim
BYGG2363	Estetikk, byggeskikk og stedskvalitet	Gjøvik
AAR4921	Estetisk kommunikasjon	Trondheim
MGLU4237	Estetiske læreprosesser	Trondheim
TTT4275	Estimering, deteksjon og klassifisering	Trondheim
YFLH2007	Etikk(Kun eksamen, undervises ikke)	Trondheim
SYA3010	Etikk i klinisk sykepleie	Ålesund
SYG3010	Etikk i klinisk sykepleie	Gjøvik
SYT3010	Etikk i klinisk sykepleie	Trondheim
LBAS1003	Etikk og politikk for arkiv og museum	Trondheim
FI1002	Etikk og politisk filosofi	Trondheim
INT3001	Etikk, bærekraft og samfunnsansvar	Trondheim
AL201220	Etikk, bærekraft og samfunnsansvar	Ålesund
SMF2290F	Etikk, bærekraft og samfunnsansvar	Gjøvik
SMF2290	Etikk, bærekraft og samfunnsansvar	Gjøvik
FI1211	Etikkprosjekt og metode	Trondheim
IIK3100	Etisk hacking og penetrasjonstesting	Gjøvik, Trondheim
DOK3004	Etiske perspektiver for dokumentasjonsforvaltning	Trondheim
SARB8008	Etnisitet og mangfold	Trondheim
SANT3026	Etnografisk datainnsamling	Trondheim
SANT3021	Etnografisk metode(Kun eksamen, undervises ikke)	Trondheim
SANT1022	Etnografisk metode	Trondheim
SANT3024	Etnografisk metode og prosjektdesign	Trondheim
SANT3025	Etnografisk skriving	Trondheim
MUSV1033	Etnomusikologi: Musikk, kultur, globalisering	Trondheim
MUSV3127	Etnomusikologiske perspektiver på Europa	Trondheim
BI2044	Etologi	Trondheim
HIST2003	Europa i høy- og seinmiddelalderen	Trondheim
KLAS2001	Europas antikk(Kun eksamen, undervises ikke)	Trondheim
KLAS2002	Europas middelalder(Kun eksamen, undervises ikke)	Trondheim
KLAS2003	Europas middelalder	Trondheim
EUR2102	Europeisk identitet	Trondheim
KUH1022	Europeisk kunst fra 1400 til 1800	Trondheim
KUH1011	Europeisk kunst fra antikken til 1400-tallet	Trondheim
KUH1023	Europeisk og amerikansk kunst fra 1800 til 2000	Trondheim
PAH3005	Evaluation of Physical Activity	Trondheim
BEV2008	Evaluering av fysisk form og prestasjonsevne	Trondheim
AI522418	Event internship	Ålesund
PSY2105	Evolusjonspsykologi	Trondheim
BI3083	Evolusjonær og økologisk genetikk	Trondheim
BI8082	Evolusjonær og økologisk genetikk	Trondheim
BI8044	Evolutionary Behavioural Ecology	Trondheim
EXPH0100	Examen philosophicum for humaniora og estetiske fag	Gjøvik, Trondheim
EXPH0600	Examen philosophicum for ingeniørfag	Gjøvik, Ålesund, Trondheim
EXPH0650	Examen philosophicum for ingeniørfag (Nettbasert)	Gjøvik, Trondheim
EXPH0400	Examen philosophicum for medisin og helsefag	Gjøvik, Ålesund, Trondheim
EXPH0300	Examen philosophicum for naturvitenskap og teknologi	Gjøvik, Ålesund, Trondheim
EXPH0350	Examen philosophicum for naturvitenskap og teknologi (Nettbasert)	Trondheim
EXPH0200	Examen philosophicum for samfunnsvitenskap	Trondheim
EXPH0500	Examen philosophicum for økonomi	Gjøvik, Ålesund, Trondheim
EXPH0550	Examen philosophicum for økonomi (Flex)	Gjøvik, Trondheim
PSY3818	Experts in Teamwork - From symptoms to solutions: Improving recovery after concussion	Trondheim
IDATT2505	Extended Reality (XR)	Trondheim
VB8004	FNs bærekraftmål og Bærekraftig vareproduksjon(Kun eksamen, undervises ikke)	Gjøvik
TKP4190	Fabrikasjon og anvendelse av nanomaterialer	Trondheim
