Emnekode	Emnenavn	Sted
TN102221	Anvendt Navigasjon 2 - Navigasjonssystemer(Kun eksamen, undervises ikke)	Ålesund
TN203721	Anvendt Navigasjon 3	Ålesund
HBIOA2007	Anvendt bioinformatikk	Ålesund
MB301712	Anvendt bioteknologi	Ålesund
TDT4259	Anvendt data science	Trondheim
MT8219	Anvendt elektronmikroskopi	Trondheim
BEV8007	Anvendt forskning i idrett og helsevitenskap – optimalisering av kunnskapsoverføringen	Trondheim
GB8105	Anvendt geofysikk og petrologi for utforsking av geologi og miljø	Trondheim
TBA4231	Anvendt geomatikk	Trondheim
KP8132	Anvendt heterogen katalyse	Trondheim
IELET2112	Anvendt instrumentering(Kun eksamen, undervises ikke)	Trondheim
TTM4135	Anvendt kryptografi og nettverksikkerhet	Trondheim
GEOM1320	Anvendt landmåling	Gjøvik
IDATT2502	Anvendt maskinlæring med prosjekt	Trondheim
MET430	Anvendt matematikk for økonomi	Trondheim
TMT4178	Anvendt materialteknologi	Trondheim
TMMT4004	Anvendt matmikrobiologi og bioteknologi	Trondheim
PSYK4428	Anvendt og klinisk personlighetspsykologi	Trondheim
PSYPRO4416	Anvendt og klinisk personlighetspsykologi(Kun eksamen, undervises ikke)	Trondheim
TDT4114	Anvendt programmering	Trondheim
TS200114	Anvendt prosjektledelse for prosjektbasert industri	Ålesund
FENG2100	Anvendt solenergi	Gjøvik
FENT2100	Anvendt solenergi	Gjøvik
TMA4255	Anvendt statistikk	Trondheim
MET2010	Anvendt statistikk	Trondheim
BA8618	Anvendt statistikk for PhD i Bygg, anlegg og transport	Trondheim
SOS3003	Anvendt statistisk dataanalyse i samfunnsvitenskap	Trondheim
SOS8003	Anvendt statistisk dataanalyse i samfunnsvitenskap	Trondheim
TKJ4510	Anvendt teoretisk kjemi, fordypningsprosjekt	Trondheim
FIN8608	Anvendt tidsserieøkonometri	Trondheim
FIN3008	Anvendt tidsserieøkonometri	Trondheim
SØK3514	Anvendt økonometri	Trondheim
SØK8614	Anvendt økonometri	Trondheim
